,code,capitalization
0,600817.XSHG,12873.0
1,600706.XSHG,8733.0
2,600419.XSHG,8016.0
3,600234.XSHG,14460.0
4,600187.XSHG,32723.0
5,600892.XSHG,5050.0
6,600136.XSHG,10444.0
7,600385.XSHG,14811.0
8,600562.XSHG,8409.0
9,600988.XSHG,9964.0
10,600793.XSHG,10530.0
11,600647.XSHG,5352.0
12,600455.XSHG,6246.0
13,600753.XSHG,12800.0
14,600520.XSHG,11304.0
15,600711.XSHG,7947.0
16,600768.XSHG,13375.0
17,600847.XSHG,8866.0
18,600984.XSHG,14156.0
19,600715.XSHG,22426.0
20,600070.XSHG,14068.0
21,600566.XSHG,10631.0
22,600634.XSHG,8721.0
23,600593.XSHG,9200.0
24,600691.XSHG,11448.0
25,600873.XSHG,10824.0
26,600552.XSHG,11700.0
27,600421.XSHG,19560.0
28,600077.XSHG,15912.0
29,600373.XSHG,18750.0
30,600774.XSHG,17458.0
31,600699.XSHG,18572.0
32,600721.XSHG,14169.0
33,600807.XSHG,16058.0
34,600180.XSHG,25099.0
35,600493.XSHG,17000.0
36,600338.XSHG,15833.0
37,600340.XSHG,14532.0
38,600513.XSHG,9000.0
39,600353.XSHG,11324.0
40,600365.XSHG,14000.0
41,600766.XSHG,17117.0
42,600749.XSHG,16500.0
43,600658.XSHG,16702.0
44,600990.XSHG,5880.0
45,600490.XSHG,13200.0
46,600346.XSHG,10500.0
47,600687.XSHG,12689.0
48,600579.XSHG,25560.0
49,600870.XSHG,37082.0
50,600568.XSHG,12547.0
51,600712.XSHG,14467.0
52,600714.XSHG,15094.0
53,600985.XSHG,9000.0
54,600433.XSHG,16000.0
55,600401.XSHG,25805.0
56,600671.XSHG,12178.0
57,600241.XSHG,10600.0
58,600137.XSHG,7082.0
59,600403.XSHG,12747.0
60,600735.XSHG,15481.0
61,600515.XSHG,29556.0
62,600113.XSHG,14750.0
63,600532.XSHG,15210.0
64,600466.XSHG,17560.0
65,600960.XSHG,16282.0
66,600083.XSHG,23000.0
67,600148.XSHG,14152.0
68,600856.XSHG,23483.0
69,600233.XSHG,16500.0
70,600982.XSHG,16800.0
71,600794.XSHG,17826.0
72,600771.XSHG,24381.0
73,600571.XSHG,19455.0
74,600146.XSHG,20000.0
75,600617.XSHG,16719.0
76,600850.XSHG,17103.0
77,600080.XSHG,30530.0
78,600656.XSHG,19034.0
79,600452.XSHG,16000.0
80,600980.XSHG,13000.0
81,600355.XSHG,24604.0
82,600773.XSHG,22886.0
83,600976.XSHG,15340.0
84,600446.XSHG,13744.0
85,600099.XSHG,21912.0
86,600213.XSHG,22000.0
87,600165.XSHG,19395.0
88,600719.XSHG,20230.0
89,600071.XSHG,23747.0
90,600661.XSHG,17368.0
91,600375.XSHG,18748.0
92,600992.XSHG,16437.0
93,600882.XSHG,21373.0
94,600461.XSHG,14000.0
95,600781.XSHG,17759.0
96,600633.XSHG,15205.0
97,600242.XSHG,17403.0
98,600857.XSHG,22432.0
99,600250.XSHG,25869.0
100,600969.XSHG,21027.0
101,600560.XSHG,9940.0
102,600076.XSHG,36554.0
103,600608.XSHG,32886.0
104,600891.XSHG,24356.0
105,600228.XSHG,24132.0
106,600483.XSHG,28848.0
107,600211.XSHG,13871.0
108,600731.XSHG,25631.0
109,600502.XSHG,22308.0
110,600379.XSHG,17868.0
111,600889.XSHG,25589.0
112,600738.XSHG,26278.0
113,600605.XSHG,14734.0
114,600792.XSHG,12623.0
115,600833.XSHG,15935.0
116,600615.XSHG,18802.0
117,600538.XSHG,27922.0
118,600784.XSHG,24831.0
119,600273.XSHG,31500.0
120,600448.XSHG,31980.0
121,600603.XSHG,19464.0
122,600758.XSHG,15976.0
123,600537.XSHG,23003.0
124,600763.XSHG,16032.0
125,600756.XSHG,18583.0
126,600238.XSHG,16600.0
127,600796.XSHG,27400.0
128,600114.XSHG,19550.0
129,600265.XSHG,12980.0
130,600057.XSHG,42984.0
131,600305.XSHG,12715.0
132,600203.XSHG,24054.0
133,600613.XSHG,14791.0
134,600235.XSHG,26340.0
135,600760.XSHG,27300.0
136,600184.XSHG,10500.0
137,600979.XSHG,23785.0
138,600576.XSHG,21809.0
139,600152.XSHG,29349.0
140,600696.XSHG,34057.0
141,600869.XSHG,12000.0
142,600157.XSHG,25567.0
143,600769.XSHG,37498.0
144,600405.XSHG,20869.0
145,600734.XSHG,35156.0
146,600232.XSHG,31189.0
147,600539.XSHG,23000.0
148,600684.XSHG,18704.0
149,600275.XSHG,50884.0
150,600556.XSHG,30369.0
151,600247.XSHG,33644.0
152,600218.XSHG,28340.0
153,600280.XSHG,14354.0
154,600730.XSHG,29333.0
155,600313.XSHG,30420.0
156,600116.XSHG,20956.0
157,600105.XSHG,27211.0
158,600145.XSHG,37769.0
159,600459.XSHG,11174.0
160,600728.XSHG,20818.0
161,600133.XSHG,27559.0
162,600767.XSHG,34101.0
163,600139.XSHG,12098.0
164,600119.XSHG,25740.0
165,600722.XSHG,42142.0
166,600370.XSHG,31890.0
167,600883.XSHG,23609.0
168,600463.XSHG,25200.0
169,600778.XSHG,31149.0
170,600666.XSHG,19343.0
171,600243.XSHG,18685.0
172,600318.XSHG,24200.0
173,600303.XSHG,22200.0
174,600746.XSHG,30642.0
175,600199.XSHG,26072.0
176,600390.XSHG,16005.0
177,600091.XSHG,33653.0
178,600898.XSHG,25252.0
179,600319.XSHG,31559.0
180,600301.XSHG,23515.0
181,600155.XSHG,41250.0
182,600167.XSHG,21100.0
183,600262.XSHG,17000.0
184,600462.XSHG,41060.0
185,600292.XSHG,33450.0
186,600293.XSHG,34450.0
187,600297.XSHG,17500.0
188,600081.XSHG,31356.0
189,600302.XSHG,34601.0
190,600506.XSHG,14771.0
191,600862.XSHG,23844.0
192,600378.XSHG,24561.0
193,600530.XSHG,31200.0
194,600667.XSHG,36882.0
195,600172.XSHG,26800.0
196,600182.XSHG,34000.0
197,600095.XSHG,36126.0
198,600321.XSHG,22776.0
199,600156.XSHG,40211.0
200,600225.XSHG,22110.0
201,600876.XSHG,50002.0
202,600393.XSHG,30000.0
203,600222.XSHG,31723.0
204,600745.XSHG,32737.0
205,600175.XSHG,34413.0
206,600212.XSHG,51170.0
207,600575.XSHG,35580.0
208,600381.XSHG,30638.0
209,600559.XSHG,14000.0
210,600975.XSHG,18028.0
211,600689.XSHG,20099.0
212,600587.XSHG,13439.0
213,600561.XSHG,18572.0
214,600855.XSHG,29260.0
215,600397.XSHG,26923.0
216,600185.XSHG,33759.0
217,600209.XSHG,43901.0
218,600821.XSHG,41627.0
219,600356.XSHG,19300.0
220,600701.XSHG,49878.0
221,600135.XSHG,34200.0
222,600668.XSHG,34408.0
223,600860.XSHG,42200.0
224,600237.XSHG,40000.0
225,600885.XSHG,15374.0
226,600193.XSHG,21814.0
227,600558.XSHG,12000.0
228,600599.XSHG,12600.0
229,600764.XSHG,32973.0
230,600967.XSHG,17323.0
231,600215.XSHG,35772.0
232,600973.XSHG,15600.0
233,600055.XSHG,21645.0
234,600577.XSHG,29448.0
235,600285.XSHG,20072.0
236,600345.XSHG,19800.0
237,600053.XSHG,30107.0
238,600248.XSHG,20285.0
239,600567.XSHG,42960.0
240,600705.XSHG,27434.0
241,600526.XSHG,14000.0
242,600149.XSHG,38016.0
243,600742.XSHG,21152.0
244,600986.XSHG,16763.0
245,600392.XSHG,15660.0
246,600732.XSHG,24799.0
247,600207.XSHG,44000.0
248,600335.XSHG,27596.0
249,600306.XSHG,17814.0
250,600645.XSHG,32504.0
251,600707.XSHG,42115.0
252,600279.XSHG,22839.0
253,600288.XSHG,33600.0
254,600367.XSHG,29120.0
255,600252.XSHG,21745.0
256,600565.XSHG,40000.0
257,600757.XSHG,55217.0
258,600090.XSHG,36792.0
259,600480.XSHG,31200.0
260,600444.XSHG,10500.0
261,600636.XSHG,34723.0
262,600358.XSHG,43200.0
263,600336.XSHG,34104.0
264,600683.XSHG,28225.0
265,600272.XSHG,24300.0
266,600563.XSHG,22500.0
267,600965.XSHG,27940.0
268,600987.XSHG,42354.0
269,600192.XSHG,28479.0
270,600573.XSHG,25000.0
271,601007.XSHG,30000.0
272,600382.XSHG,34175.0
273,600173.XSHG,33000.0
274,600505.XSHG,36457.0
275,600460.XSHG,40408.0
276,600217.XSHG,66080.0
277,600512.XSHG,36847.0
278,600257.XSHG,42705.0
279,600255.XSHG,44950.0
280,600846.XSHG,27809.0
281,600803.XSHG,23644.0
282,600206.XSHG,21750.0
283,600400.XSHG,43108.0
284,600260.XSHG,26382.0
285,600343.XSHG,18500.0
286,600422.XSHG,31418.0
287,600814.XSHG,31038.0
288,600179.XSHG,39000.0
289,600101.XSHG,32418.0
290,600387.XSHG,29700.0
291,600371.XSHG,15500.0
292,600470.XSHG,22600.0
293,600363.XSHG,37081.0
294,600496.XSHG,34500.0
295,600229.XSHG,29513.0
296,600476.XSHG,16107.0
297,600536.XSHG,16131.0
298,600838.XSHG,40088.0
299,600727.XSHG,35099.0
300,600590.XSHG,29450.0
301,600069.XSHG,42620.0
302,600061.XSHG,42908.0
303,600527.XSHG,35128.0
304,600592.XSHG,30000.0
305,600802.XSHG,38187.0
306,600865.XSHG,37624.0
307,600713.XSHG,25077.0
308,600051.XSHG,30240.0
309,600201.XSHG,28081.0
310,600962.XSHG,20170.0
311,600777.XSHG,62542.0
312,600545.XSHG,36637.0
313,600253.XSHG,42000.0
314,600200.XSHG,62370.0
315,600822.XSHG,25272.0
316,600501.XSHG,32440.0
317,600287.XSHG,43680.0
318,600842.XSHG,21559.0
319,600073.XSHG,35640.0
320,600278.XSHG,32000.0
321,600604.XSHG,56645.0
322,600283.XSHG,28533.0
323,600853.XSHG,53681.0
324,600710.XSHG,48620.0
325,600805.XSHG,54545.0
326,600281.XSHG,51440.0
327,600485.XSHG,13663.0
328,600082.XSHG,32306.0
329,600692.XSHG,31979.0
330,600079.XSHG,38909.0
331,600783.XSHG,20228.0
332,600682.XSHG,35832.0
333,600391.XSHG,13130.0
334,600723.XSHG,40972.0
335,600159.XSHG,41500.0
336,600487.XSHG,16612.0
337,600084.XSHG,47036.0
338,600398.XSHG,64660.0
339,600751.XSHG,49265.0
340,600330.XSHG,58882.0
341,600039.XSHG,30400.0
342,600826.XSHG,28043.0
343,600620.XSHG,32013.0
344,600420.XSHG,28773.0
345,600086.XSHG,35228.0
346,600652.XSHG,50637.0
347,600191.XSHG,48493.0
348,600372.XSHG,41000.0
349,600416.XSHG,23500.0
350,600861.XSHG,31680.0
351,600369.XSHG,24486.0
352,600614.XSHG,33377.0
353,600093.XSHG,32245.0
354,600120.XSHG,50547.0
355,600510.XSHG,43837.0
356,600594.XSHG,23517.0
357,600477.XSHG,24757.0
358,600168.XSHG,44115.0
359,600572.XSHG,32400.0
360,600129.XSHG,32838.0
361,600189.XSHG,31050.0
362,600468.XSHG,31680.0
363,600131.XSHG,50413.0
364,600291.XSHG,32000.0
365,600063.XSHG,36808.0
366,600366.XSHG,39577.0
367,600866.XSHG,52110.0
368,600724.XSHG,44468.0
369,600890.XSHG,57919.0
370,600678.XSHG,34899.0
371,600843.XSHG,44889.0
372,600531.XSHG,22827.0
373,600677.XSHG,32617.0
374,600543.XSHG,17840.0
375,600495.XSHG,10291.0
376,600327.XSHG,32607.0
377,600360.XSHG,52160.0
378,600791.XSHG,45288.0
379,600310.XSHG,15675.0
380,600491.XSHG,38880.0
381,600785.XSHG,17286.0
382,600074.XSHG,66124.0
383,600981.XSHG,51611.0
384,600507.XSHG,68449.0
385,600606.XSHG,39023.0
386,600326.XSHG,45600.0
387,600877.XSHG,68728.0
388,600226.XSHG,27037.0
389,600130.XSHG,76800.0
390,600679.XSHG,35362.0
391,600354.XSHG,18597.0
392,600396.XSHG,34060.0
393,600626.XSHG,47350.0
394,600328.XSHG,35912.0
395,600540.XSHG,23285.0
396,600469.XSHG,37494.0
397,600702.XSHG,33730.0
398,600261.XSHG,24977.0
399,600589.XSHG,53325.0
400,600991.XSHG,40067.0
401,600399.XSHG,52000.0
402,600553.XSHG,38000.0
403,600163.XSHG,72142.0
404,600259.XSHG,24940.0
405,600351.XSHG,15824.0
406,600830.XSHG,45432.0
407,600789.XSHG,58158.0
408,600178.XSHG,46208.0
409,600654.XSHG,75504.0
410,600828.XSHG,20315.0
411,600612.XSHG,27696.0
412,600388.XSHG,16700.0
413,600458.XSHG,20436.0
414,600580.XSHG,28332.0
415,600546.XSHG,30000.0
416,600368.XSHG,47123.0
417,600223.XSHG,53625.0
418,600240.XSHG,64500.0
419,600112.XSHG,32287.0
420,600333.XSHG,46152.0
421,600622.XSHG,51430.0
422,600230.XSHG,25933.0
423,600171.XSHG,67381.0
424,600227.XSHG,30628.0
425,600884.XSHG,41086.0
426,600475.XSHG,25600.0
427,600810.XSHG,44228.0
428,600686.XSHG,44260.0
429,600676.XSHG,56261.0
430,600337.XSHG,51060.0
431,600106.XSHG,37510.0
432,600665.XSHG,72010.0
433,600423.XSHG,26623.0
434,600971.XSHG,18840.0
435,600249.XSHG,45000.0
436,600733.XSHG,19759.0
437,600708.XSHG,46397.0
438,600744.XSHG,71165.0
439,600258.XSHG,23140.0
440,600637.XSHG,70886.0
441,600800.XSHG,55166.0
442,600848.XSHG,39929.0
443,600290.XSHG,24402.0
444,600584.XSHG,74518.0
445,600323.XSHG,27107.0
446,600160.XSHG,55680.0
447,600790.XSHG,61878.0
448,600644.XSHG,32648.0
449,600680.XSHG,38223.0
450,600056.XSHG,23920.0
451,600840.XSHG,30408.0
452,600993.XSHG,9211.0
453,600075.XSHG,43859.0
454,601008.XSHG,53760.0
455,600088.XSHG,23673.0
456,600097.XSHG,20260.0
457,600197.XSHG,44100.0
458,600621.XSHG,52408.0
459,600872.XSHG,72422.0
460,600478.XSHG,28628.0
461,600693.XSHG,26402.0
462,600697.XSHG,15909.0
463,600103.XSHG,106184.0
464,600186.XSHG,106202.0
465,600610.XSHG,35709.0
466,600703.XSHG,24618.0
467,600268.XSHG,18924.0
468,600961.XSHG,52746.0
469,600624.XSHG,34516.0
470,600499.XSHG,34377.0
471,600482.XSHG,46100.0
472,600389.XSHG,19800.0
473,600619.XSHG,54795.0
474,600141.XSHG,25200.0
475,600761.XSHG,35695.0
476,600529.XSHG,25738.0
477,600067.XSHG,61292.0
478,600740.XSHG,56570.0
479,600651.XSHG,55990.0
480,600831.XSHG,33340.0
481,600359.XSHG,32100.0
482,600966.XSHG,50458.0
483,600522.XSHG,27080.0
484,600121.XSHG,62914.0
485,600716.XSHG,55728.0
486,600127.XSHG,54446.0
487,600995.XSHG,39877.0
488,600162.XSHG,76781.0
489,600797.XSHG,81304.0
490,600609.XSHG,109267.0
491,600798.XSHG,58076.0
492,600481.XSHG,67507.0
493,600339.XSHG,52560.0
494,600523.XSHG,28879.0
495,600436.XSHG,14000.0
496,600629.XSHG,26900.0
497,600059.XSHG,37248.0
498,600775.XSHG,65502.0
499,600818.XSHG,26566.0
500,600736.XSHG,88157.0
501,600824.XSHG,60997.0
502,600425.XSHG,36889.0
503,600555.XSHG,86900.0
504,600983.XSHG,33300.0
505,600673.XSHG,82747.0
506,600525.XSHG,16659.0
507,600630.XSHG,42486.0
508,600720.XSHG,39590.0
509,600128.XSHG,24677.0
510,600602.XSHG,117294.0
511,600770.XSHG,40500.0
512,600888.XSHG,35206.0
513,600759.XSHG,93855.0
514,600263.XSHG,40813.0
515,600896.XSHG,58132.0
516,600894.XSHG,76241.0
517,600695.XSHG,67631.0
518,600725.XSHG,29013.0
519,600122.XSHG,31920.0
520,600052.XSHG,87179.0
521,600586.XSHG,59008.0
522,600806.XSHG,42486.0
523,600834.XSHG,47738.0
524,600978.XSHG,100466.0
525,600003.XSHG,121320.0
526,600640.XSHG,40137.0
527,600386.XSHG,40320.0
528,600698.XSHG,97182.0
529,600298.XSHG,27140.0
530,600704.XSHG,37475.0
531,600729.XSHG,20400.0
532,600486.XSHG,11700.0
533,600662.XSHG,81354.0
534,600509.XSHG,65570.0
535,600578.XSHG,57336.0
536,600787.XSHG,73698.0
537,600198.XSHG,43899.0
538,600289.XSHG,35197.0
539,600361.XSHG,48481.0
540,600864.XSHG,54638.0
541,600038.XSHG,33735.0
542,600570.XSHG,29702.0
543,600284.XSHG,34600.0
544,600488.XSHG,54289.0
545,600780.XSHG,87294.0
546,600117.XSHG,74122.0
547,600409.XSHG,93914.0
548,600107.XSHG,36000.0
549,600747.XSHG,106433.0
550,600408.XSHG,84780.0
551,600060.XSHG,49377.0
552,600138.XSHG,41535.0
553,600815.XSHG,69927.0
554,600064.XSHG,34415.0
555,600623.XSHG,88947.0
556,600823.XSHG,47836.0
557,600202.XSHG,31945.0
558,600126.XSHG,83894.0
559,600551.XSHG,19530.0
560,600963.XSHG,65220.0
561,600503.XSHG,52735.0
562,600533.XSHG,105000.0
563,600819.XSHG,73125.0
564,600329.XSHG,36965.0
565,600750.XSHG,29588.0
566,600151.XSHG,74854.0
567,600110.XSHG,67754.0
568,600449.XSHG,19513.0
569,600467.XSHG,63360.0
570,600308.XSHG,54865.0
571,600641.XSHG,44787.0
572,600836.XSHG,31356.0
573,600854.XSHG,51946.0
574,600317.XSHG,54879.0
575,600851.XSHG,120706.0
576,600479.XSHG,18144.0
577,600035.XSHG,93165.0
578,600653.XSHG,145532.0
579,600322.XSHG,110570.0
580,600429.XSHG,63500.0
581,600844.XSHG,30456.0
582,600231.XSHG,80400.0
583,600897.XSHG,29781.0
584,601999.XSHG,55091.0
585,600628.XSHG,53180.0
586,600618.XSHG,115640.0
587,600521.XSHG,29923.0
588,600072.XSHG,36245.0
589,600726.XSHG,136907.0
590,600595.XSHG,65726.0
591,600743.XSHG,77813.0
592,600868.XSHG,189815.0
593,600418.XSHG,128874.0
594,600311.XSHG,66560.0
595,600581.XSHG,76645.0
596,600299.XSHG,52271.0
597,600765.XSHG,35867.0
598,600858.XSHG,23508.0
599,600078.XSHG,65147.0
600,601002.XSHG,73847.0
601,600616.XSHG,36556.0
602,600827.XSHG,42920.0
603,600158.XSHG,80356.0
604,600190.XSHG,105549.0
605,600300.XSHG,76000.0
606,600845.XSHG,26224.0
607,600841.XSHG,48031.0
608,600307.XSHG,87360.0
609,600352.XSHG,65900.0
610,600893.XSHG,44234.0
611,600435.XSHG,22272.0
612,600755.XSHG,49649.0
613,600498.XSHG,41000.0
614,600210.XSHG,143674.0
615,600246.XSHG,50700.0
616,600108.XSHG,144119.0
617,600607.XSHG,36781.0
618,600166.XSHG,91641.0
619,600650.XSHG,55161.0
620,600597.XSHG,104189.0
621,600183.XSHG,95702.0
622,600277.XSHG,60129.0
623,600410.XSHG,41911.0
624,600357.XSHG,98067.0
625,600439.XSHG,47423.0
626,600557.XSHG,26644.0
627,600601.XSHG,172649.0
628,600438.XSHG,68752.0
629,600195.XSHG,39000.0
630,600643.XSHG,82040.0
631,600066.XSHG,51989.0
632,600879.XSHG,54069.0
633,600809.XSHG,43292.0
634,600741.XSHG,147256.0
635,600591.XSHG,108150.0
636,600332.XSHG,81090.0
637,600316.XSHG,35280.0
638,600880.XSHG,36729.0
639,600017.XSHG,126059.0
640,600456.XSHG,43027.0
641,600282.XSHG,168480.0
642,600776.XSHG,125600.0
643,600380.XSHG,109787.0
644,600432.XSHG,50889.0
645,600376.XSHG,80980.0
646,600638.XSHG,56116.0
647,600867.XSHG,36857.0
648,600239.XSHG,29052.0
649,600266.XSHG,74100.0
650,600406.XSHG,25506.0
651,600516.XSHG,63954.0
652,600118.XSHG,29378.0
653,600811.XSHG,128216.0
654,600426.XSHG,49575.0
655,600331.XSHG,103200.0
656,600549.XSHG,68198.0
657,600694.XSHG,29372.0
658,600270.XSHG,90548.0
659,600970.XSHG,16800.0
660,600102.XSHG,92227.0
661,600779.XSHG,48855.0
662,600863.XSHG,198122.0
663,600754.XSHG,60324.0
664,600125.XSHG,100425.0
665,600020.XSHG,211916.0
666,600782.XSHG,139343.0
667,600111.XSHG,80735.0
668,600816.XSHG,45411.0
669,600006.XSHG,200000.0
670,600176.XSHG,42739.0
671,600801.XSHG,40360.0
672,601005.XSHG,173313.0
673,600535.XSHG,48800.0
674,600315.XSHG,21703.0
675,600685.XSHG,49468.0
676,600839.XSHG,189821.0
677,600675.XSHG,108803.0
678,600657.XSHG,152426.0
679,600087.XSHG,161066.0
680,600812.XSHG,102858.0
681,600804.XSHG,64195.0
682,600012.XSHG,165861.0
683,600021.XSHG,213974.0
684,600054.XSHG,47135.0
685,600508.XSHG,72272.0
686,600829.XSHG,38659.0
687,600216.XSHG,45006.0
688,600132.XSHG,48397.0
689,600169.XSHG,44677.0
690,600887.XSHG,79932.0
691,600085.XSHG,52083.0
692,600143.XSHG,139650.0
693,600639.XSHG,84439.0
694,600170.XSHG,71930.0
695,600748.XSHG,108337.0
696,600220.XSHG,178334.0
697,600267.XSHG,44928.0
698,600123.XSHG,57120.0
699,600511.XSHG,23940.0
700,600874.XSHG,142723.0
701,600518.XSHG,76440.0
702,600395.XSHG,59408.0
703,600312.XSHG,51124.0
704,600161.XSHG,48825.0
705,600251.XSHG,24140.0
706,600997.XSHG,61732.0
707,600007.XSHG,100728.0
708,600881.XSHG,126315.0
709,600655.XSHG,72592.0
710,600569.XSHG,239368.0
711,600033.XSHG,147960.0
712,600648.XSHG,101078.0
713,600825.XSHG,58049.0
714,600859.XSHG,39297.0
715,600325.XSHG,81705.0
716,600022.XSHG,173360.0
717,600497.XSHG,78000.0
718,600660.XSHG,200299.0
719,601003.XSHG,256279.0
720,600256.XSHG,86606.0
721,600153.XSHG,124319.0
722,600820.XSHG,73352.0
723,600004.XSHG,115000.0
724,600219.XSHG,131880.0
725,600835.XSHG,102274.0
726,600295.XSHG,103200.0
727,600428.XSHG,131040.0
728,600635.XSHG,149534.0
729,600611.XSHG,157608.0
730,600737.XSHG,100560.0
731,600596.XSHG,28679.0
732,600236.XSHG,147989.0
733,600269.XSHG,116767.0
734,600001.XSHG,281646.0
735,600582.XSHG,67440.0
736,600517.XSHG,41247.0
737,600674.XSHG,63868.0
738,600631.XSHG,110103.0
739,600348.XSHG,96200.0
740,600096.XSHG,53635.0
741,601588.XSHG,336702.0
742,601001.XSHG,83685.0
743,600548.XSHG,218070.0
744,600886.XSHG,105463.0
745,600008.XSHG,220000.0
746,600100.XSHG,97697.0
747,600098.XSHG,205920.0
748,600037.XSHG,106019.0
749,600588.XSHG,46668.0
750,600383.XSHG,167815.0
751,600739.XSHG,90049.0
752,600221.XSHG,353025.0
753,600718.XSHG,94430.0
754,600500.XSHG,143759.0
755,600208.XSHG,282185.0
756,600062.XSHG,47641.0
757,600109.XSHG,50012.0
758,600528.XSHG,145920.0
759,600690.XSHG,133852.0
760,600058.XSHG,107191.0
761,600196.XSHG,123777.0
762,601872.XSHG,343340.0
763,600489.XSHG,35937.0
764,601666.XSHG,107472.0
765,600664.XSHG,124201.0
766,601918.XSHG,185039.0
767,601699.XSHG,115054.0
768,600871.XSHG,400000.0
769,600717.XSHG,167477.0
770,600068.XSHG,166541.0
771,601168.XSHG,238300.0
772,601009.XSHG,183675.0
773,600895.XSHG,154869.0
774,600271.XSHG,61560.0
775,600177.XSHG,222661.0
776,600350.XSHG,336380.0
777,600010.XSHG,642337.0
778,600309.XSHG,166333.0
779,600547.XSHG,35577.0
780,600642.XSHG,288963.0
781,600598.XSHG,167631.0
782,600415.XSHG,34020.0
783,600649.XSHG,229810.0
784,601099.XSHG,150331.0
785,600276.XSHG,51729.0
786,600115.XSHG,486695.0
787,600031.XSHG,148800.0
788,600029.XSHG,656127.0
789,600009.XSHG,192696.0
790,600832.XSHG,318633.0
791,600027.XSHG,602108.0
792,600550.XSHG,116800.0
793,600663.XSHG,186768.0
794,600808.XSHG,770068.0
795,600150.XSHG,66256.0
796,600600.XSHG,130822.0
797,600320.XSHG,320736.0
798,601333.XSHG,708354.0
799,600875.XSHG,88200.0
800,601958.XSHG,268884.0
801,600377.XSHG,503775.0
802,600026.XSHG,340455.0
803,600089.XSHG,119825.0
804,600362.XSHG,302283.0
805,600795.XSHG,544777.0
806,601866.XSHG,1168313.0
807,600583.XSHG,216080.0
808,600104.XSHG,655103.0
809,600048.XSHG,245234.0
810,600015.XSHG,499053.0
811,600005.XSHG,783800.0
812,600688.XSHG,720000.0
813,600188.XSHG,491840.0
814,600585.XSHG,176643.0
815,601111.XSHG,1225136.0
816,601766.XSHG,1184000.0
817,601808.XSHG,449532.0
818,601169.XSHG,622756.0
819,600837.XSHG,822782.0
820,600018.XSHG,2099069.0
821,601899.XSHG,1454131.0
822,601727.XSHG,1250769.0
823,601166.XSHG,500000.0
824,600000.XSHG,566135.0
825,601991.XSHG,1178004.0
826,600016.XSHG,1882300.0
827,601919.XSHG,1021627.0
828,600019.XSHG,1751200.0
829,601600.XSHG,1352449.0
830,600011.XSHG,1205538.0
831,601601.XSHG,770000.0
832,601898.XSHG,1325866.0
833,600519.XSHG,94380.0
834,601006.XSHG,1297676.0
835,600050.XSHG,2119660.0
836,601390.XSHG,2129990.0
837,600030.XSHG,663047.0
838,601186.XSHG,1233754.0
839,600900.XSHG,941209.0
840,601998.XSHG,3903334.0
841,600036.XSHG,1470718.0
842,601318.XSHG,734505.0
843,601328.XSHG,4899438.0
844,601088.XSHG,1988962.0
845,601628.XSHG,2826471.0
846,600028.XSHG,8670244.0
847,601988.XSHG,25383916.0
848,601939.XSHG,23368908.0
849,601398.XSHG,33401884.0
850,601857.XSHG,18302098.0
